# graph/E11.7e1.0r0.05 (this file)
# 11.700000 1.000000 0.050000
# 308 points
# 116 z values
# 64 (x,y) sets
set terminal png nocrop enhanced font verdana 12 size 640,480
set output 'graph/E11.7e1.0r0.05.png'
set zrange[0:54]
set isosamples 100
splot '-' with vectors title 'Paraboloid'

-4.00e+00 +9.00e+00 +3.78e+01 -4.06e-01 +9.14e-01 +0.00e+00 
+4.00e+00 +9.00e+00 +3.78e+01 +4.06e-01 +9.14e-01 +0.00e+00 
-9.00e+00 +4.00e+00 +3.78e+01 -9.14e-01 +4.06e-01 +0.00e+00 
+9.00e+00 +4.00e+00 +3.78e+01 +9.14e-01 +4.06e-01 +0.00e+00 
-9.00e+00 -4.00e+00 +3.78e+01 -9.14e-01 -4.06e-01 +0.00e+00 
+9.00e+00 -4.00e+00 +3.78e+01 +9.14e-01 -4.06e-01 +0.00e+00 
-4.00e+00 -9.00e+00 +3.78e+01 -4.06e-01 -9.14e-01 +0.00e+00 
+4.00e+00 -9.00e+00 +3.78e+01 +4.06e-01 -9.14e-01 +0.00e+00 
-3.00e+00 +5.00e+00 +1.33e+01 -5.14e-01 +8.57e-01 +0.00e+00 
+3.00e+00 +5.00e+00 +1.33e+01 +5.14e-01 +8.57e-01 +0.00e+00 
-5.00e+00 +3.00e+00 +1.33e+01 -8.57e-01 +5.14e-01 +0.00e+00 
+5.00e+00 +3.00e+00 +1.33e+01 +8.57e-01 +5.14e-01 +0.00e+00 
-5.00e+00 -3.00e+00 +1.33e+01 -8.57e-01 -5.14e-01 +0.00e+00 
+5.00e+00 -3.00e+00 +1.33e+01 +8.57e-01 -5.14e-01 +0.00e+00 
-3.00e+00 -5.00e+00 +1.33e+01 -5.14e-01 -8.57e-01 +0.00e+00 
+3.00e+00 -5.00e+00 +1.33e+01 +5.14e-01 -8.57e-01 +0.00e+00 
-4.00e+00 +1.00e+01 +4.59e+01 -3.71e-01 +9.28e-01 +0.00e+00 
+4.00e+00 +1.00e+01 +4.59e+01 +3.71e-01 +9.28e-01 +0.00e+00 
-6.00e+00 +9.00e+00 +4.59e+01 -5.55e-01 +8.32e-01 +0.00e+00 
+6.00e+00 +9.00e+00 +4.59e+01 +5.55e-01 +8.32e-01 +0.00e+00 
-9.00e+00 +6.00e+00 +4.59e+01 -8.32e-01 +5.55e-01 +0.00e+00 
+9.00e+00 +6.00e+00 +4.59e+01 +8.32e-01 +5.55e-01 +0.00e+00 
-1.00e+01 +4.00e+00 +4.59e+01 -9.28e-01 +3.71e-01 +0.00e+00 
+1.00e+01 +4.00e+00 +4.59e+01 +9.28e-01 +3.71e-01 +0.00e+00 
-1.00e+01 -4.00e+00 +4.59e+01 -9.28e-01 -3.71e-01 +0.00e+00 
+1.00e+01 -4.00e+00 +4.59e+01 +9.28e-01 -3.71e-01 +0.00e+00 
-9.00e+00 -6.00e+00 +4.59e+01 -8.32e-01 -5.55e-01 +0.00e+00 
+9.00e+00 -6.00e+00 +4.59e+01 +8.32e-01 -5.55e-01 +0.00e+00 
-6.00e+00 -9.00e+00 +4.59e+01 -5.55e-01 -8.32e-01 +0.00e+00 
+6.00e+00 -9.00e+00 +4.59e+01 +5.55e-01 -8.32e-01 +0.00e+00 
-4.00e+00 -1.00e+01 +4.59e+01 -3.71e-01 -9.28e-01 +0.00e+00 
+4.00e+00 -1.00e+01 +4.59e+01 +3.71e-01 -9.28e-01 +0.00e+00 
-3.00e+00 +8.00e+00 +2.85e+01 -3.51e-01 +9.36e-01 +0.00e+00 
